"","altitude","cyadea","beitaw","kniexc"
"1",90,0,0,1
"2",80,0,0,0
"3",50,1,1,0
"4",40,1,0,0
"5",40,1,1,1
"6",50,1,1,1
"7",70,0,1,1
"8",100,0,1,0
"9",120,0,1,1
"10",60,0,0,0
"11",70,0,0,0
"12",90,0,1,1
"13",30,0,1,0
"14",110,0,0,1
"15",40,0,0,1
"16",80,1,0,0
"17",50,0,1,1
"18",60,0,1,0
"19",40,0,0,0
"20",80,0,0,1
"21",50,0,0,1
"22",50,0,0,0
"23",100,1,0,0
"24",60,0,1,0
"25",60,0,0,0
"26",20,1,0,0
"27",140,1,0,0
"28",60,0,0,0
"29",80,0,0,1
"30",60,1,0,0
"31",60,0,0,1
"32",50,0,0,0
"33",40,0,0,1
"34",60,0,0,0
"35",90,0,0,0
"36",140,0,0,1
"37",140,0,0,1
"38",180,1,0,0
"39",200,0,1,1
"40",160,1,0,1
"41",80,1,0,1
"42",200,1,0,0
"43",90,1,0,1
"44",60,1,0,1
"45",200,0,1,1
"46",40,0,1,1
"47",60,1,1,1
"48",75,0,0,0
"49",78,0,1,0
"50",60,0,0,0
"51",60,1,1,1
"52",60,0,0,0
"53",100,1,0,1
"54",80,1,1,0
"55",60,0,0,1
"56",170,1,0,0
"57",140,0,0,1
"58",100,0,1,1
"59",80,0,0,1
"60",80,1,0,0
"61",80,0,0,0
"62",70,0,0,0
"63",90,0,1,1
"64",70,0,1,1
"65",50,0,0,0
"66",100,1,1,0
"67",95,0,0,1
"68",100,1,1,1
"69",90,0,0,1
"70",90,0,0,1
"71",80,0,0,0
"72",70,0,1,1
"73",35,1,1,1
"74",25,0,0,0
"75",60,0,0,1
"76",35,0,0,0
"77",0,0,0,0
"78",60,0,0,0
"79",1,0,0,0
"80",1,0,0,0
"81",3,0,0,0
"82",20,0,0,1
"83",100,0,0,1
"84",60,0,0,0
"85",60,0,1,1
"86",220,0,0,1
"87",200,0,0,1
"88",160,1,0,1
"89",140,0,1,1
"90",160,0,1,1
"91",180,0,0,1
"92",40,0,1,1
"93",200,0,1,1
"94",70,0,1,1
"95",80,0,0,0
"96",60,1,0,0
"97",60,1,0,0
"98",100,0,1,1
"99",150,0,0,1
"100",180,1,0,1
"101",160,1,0,1
"102",260,0,0,1
"103",115,1,1,1
"104",270,0,0,1
"105",240,0,0,1
"106",90,0,1,1
"107",100,0,0,1
"108",100,0,1,1
"109",340,0,1,1
"110",300,0,1,1
"111",290,1,0,1
"112",380,1,1,1
"113",240,0,1,1
"114",40,1,0,1
"115",50,0,0,0
"116",60,0,1,1
"117",105,0,1,1
"118",100,0,0,0
"119",200,1,1,1
"120",140,0,0,1
"121",60,0,1,0
"122",80,0,0,1
"123",100,0,0,0
"124",40,1,1,1
"125",220,1,1,1
"126",80,0,0,0
"127",120,0,0,1
"128",200,0,1,1
"129",40,0,0,0
"130",60,0,0,1
"131",70,0,0,1
"132",220,0,1,1
"133",160,0,1,1
"134",180,0,0,1
"135",180,1,1,1
"136",0,0,0,0
"137",120,0,0,0
"138",120,1,0,1
"139",130,0,0,0
"140",190,1,0,0
"141",100,0,0,1
"142",90,1,0,1
"143",80,1,1,1
"144",220,0,0,1
"145",220,1,0,1
"146",190,0,1,1
"147",140,1,1,1
"148",100,1,1,1
"149",180,0,1,1
"150",100,0,0,0
"151",80,0,0,0
"152",85,0,0,0
"153",60,0,0,0
"154",60,0,0,0
"155",80,0,0,0
"156",160,0,0,1
"157",150,1,1,0
"158",130,0,0,0
"159",30,1,1,1
"160",160,0,0,0
"161",160,0,1,0
"162",170,0,1,0
"163",180,1,1,0
"164",185,1,1,1
"165",180,1,1,1
"166",140,1,1,1
"167",130,1,0,1
"168",100,1,1,1
"169",60,0,1,1
"170",80,1,0,1
"171",110,0,0,1
"172",200,0,0,1
"173",220,1,1,1
"174",240,0,0,0
"175",240,0,1,1
"176",240,0,1,1
"177",80,0,1,0
"178",240,0,1,1
"179",260,0,1,1
"180",260,0,1,1
"181",200,0,0,0
"182",80,0,1,1
"183",220,0,0,0
"184",280,0,0,1
"185",200,0,0,1
"186",200,1,1,1
"187",80,0,1,1
"188",240,1,0,1
"189",280,1,0,0
"190",300,1,0,0
"191",240,1,0,1
"192",200,0,0,1
"193",160,0,1,1
"194",210,0,0,1
"195",240,0,0,1
"196",220,1,1,1
"197",100,0,0,1
"198",60,1,0,0
"199",60,1,0,1
"200",75,0,1,1
"201",50,1,0,0
"202",60,0,0,1
"203",70,0,1,1
"204",80,0,0,0
"205",90,1,1,0
"206",95,0,0,0
"207",65,1,0,0
"208",80,0,1,1
"209",100,1,1,1
"210",100,1,1,1
"211",200,1,0,0
"212",200,1,0,0
